53164
50000
50000
50 16 25
2.000  12.000 0.200 
0.900  4.100  0.200 
0.000  1.000  0.040 
9 7 22 22 20 24 29 44 40 50 59 52 60 60 64 48 45 42 48 45 30 30 19 4 8 
12 27 35 67 69 75 99 121 114 132 131 153 135 129 142 132 135 110 102 87 69 51 48 13 7 
19 36 70 83 96 130 147 164 147 159 171 180 199 223 207 170 167 168 131 148 102 90 64 31 13 
18 50 78 92 134 184 172 202 210 221 246 206 239 256 248 261 248 175 218 168 152 116 92 26 10 
31 76 104 145 165 188 299 258 229 305 270 328 320 294 331 295 258 255 216 177 173 135 97 55 28 
28 88 142 169 216 250 296 317 346 389 393 424 407 414 377 362 361 344 306 270 222 173 128 80 17 
14 86 150 198 257 320 385 355 414 469 526 496 462 460 487 464 434 389 366 307 228 165 147 84 27 
33 116 163 287 309 354 412 468 502 494 564 528 602 546 527 512 491 446 438 390 350 266 185 126 38 
27 141 206 245 323 413 502 562 581 644 629 680 729 645 642 605 588 516 478 417 359 278 201 135 43 
54 123 248 361 440 535 550 622 662 765 780 766 752 800 724 698 620 575 551 472 413 330 250 136 49 
51 190 277 373 510 577 626 697 819 798 838 878 873 846 910 870 765 644 633 532 481 363 262 145 54 
56 184 284 451 552 634 737 809 900 926 977 984 990 978 925 890 858 776 696 643 560 402 320 172 46 
84 225 362 526 615 655 770 942 998 1063 1061 1197 1116 1100 1062 1014 920 950 846 678 604 471 332 194 66 
84 248 404 524 659 764 887 1050 1041 1120 1198 1235 1198 1208 1262 1208 1150 1041 904 746 684 516 347 245 81 
77 280 398 607 753 828 1021 1084 1240 1275 1323 1436 1409 1393 1320 1332 1180 1128 989 905 636 559 385 290 86 
96 273 464 682 802 1019 1145 1270 1383 1404 1518 1507 1476 1556 1457 1422 1338 1284 1041 958 798 705 442 265 99 
8 19 18 32 41 46 61 65 59 95 93 92 92 91 87 64 87 64 73 50 56 37 28 14 7 
6 38 60 92 104 147 180 210 198 235 234 227 244 217 243 219 198 199 170 155 115 108 91 44 10 
26 67 125 171 185 211 238 249 290 293 277 342 329 281 272 295 279 247 260 199 160 125 93 55 27 
24 88 121 178 201 262 290 334 390 394 412 421 418 454 369 403 396 308 325 259 228 163 131 74 24 
27 100 156 227 289 337 365 396 460 490 487 517 540 532 470 466 439 477 392 330 266 215 155 100 35 
37 132 215 274 362 412 445 589 589 563 599 642 652 588 668 609 562 553 448 389 331 259 185 107 49 
49 164 236 348 399 517 567 621 694 719 715 758 812 806 751 680 682 611 592 517 399 322 230 143 45 
62 171 270 402 508 586 688 743 836 869 864 876 901 898 904 863 801 735 635 568 528 395 243 176 63 
66 201 309 485 619 724 730 894 948 1002 1013 999 1034 1037 1038 963 930 851 725 655 557 481 344 195 70 
82 232 378 513 649 811 886 1047 1091 1086 1169 1264 1170 1244 1237 1146 1095 990 884 756 632 497 360 251 80 
97 258 445 605 801 933 1075 1109 1291 1268 1370 1416 1399 1323 1319 1330 1227 1036 995 899 725 612 432 236 94 
87 289 509 700 819 986 1129 1295 1443 1445 1504 1630 1623 1529 1509 1377 1416 1261 1171 1026 808 651 502 321 98 
120 337 575 766 933 1110 1334 1514 1507 1647 1771 1821 1809 1778 1750 1684 1507 1422 1345 1189 907 754 580 341 109 
125 387 628 854 1079 1227 1450 1530 1695 1835 2010 2120 1997 1907 1893 1760 1675 1598 1449 1320 1057 852 596 404 127 
172 414 665 957 1179 1412 1614 1828 1981 2016 2201 2268 2180 2088 2065 1986 1929 1745 1621 1364 1211 989 660 375 121 
166 438 791 1035 1339 1539 1800 1930 2115 2171 2310 2391 2377 2384 2368 2194 2050 1912 1678 1611 1329 982 718 460 131 
