51430
50000
50000
50 16 25
2.000  12.000 0.200 
0.900  4.100  0.200 
0.000  1.000  0.040 
0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 
1 0 0 0 0 0 2 0 0 0 1 0 1 0 1 2 0 1 0 0 1 0 0 0 0 
0 1 0 0 0 1 0 0 1 1 2 2 1 0 1 0 0 0 1 1 0 0 0 2 0 
1 0 0 0 0 1 0 3 0 1 1 0 1 0 2 2 1 0 0 1 1 0 2 0 0 
0 1 0 2 0 2 0 1 0 1 0 0 2 2 3 1 2 0 2 0 0 0 0 0 0 
0 0 0 0 1 0 2 0 3 1 0 3 2 4 2 3 3 1 1 0 1 0 1 0 0 
0 0 1 1 1 2 3 4 3 4 2 2 1 3 1 4 3 3 1 4 3 1 0 3 0 
1 1 1 1 0 3 2 3 0 3 1 2 3 3 1 1 3 3 0 1 1 1 1 0 0 
0 2 0 0 2 2 4 3 3 4 2 2 4 0 5 2 2 3 1 1 1 1 1 0 0 
0 0 0 1 2 1 2 3 2 3 1 2 0 4 3 2 1 3 2 1 0 1 2 0 0 
0 1 1 3 2 5 1 3 4 1 3 2 4 1 3 4 3 2 5 3 4 4 1 1 0 
1 3 2 3 1 5 3 6 2 2 1 8 1 6 3 4 4 2 2 3 2 1 0 1 0 
0 0 0 0 2 3 1 4 2 5 2 7 2 5 3 7 3 4 3 6 2 0 1 2 0 
0 0 2 1 3 3 3 3 4 4 7 10 5 3 3 4 1 0 3 3 2 2 0 2 1 
0 2 3 3 4 2 7 8 4 4 3 4 4 10 4 6 5 7 8 7 3 2 2 0 0 
0 1 3 5 2 5 3 3 3 7 5 5 8 2 5 8 6 2 7 2 3 4 1 0 0 
0 0 0 0 0 0 0 1 0 0 3 0 1 0 0 0 0 0 1 0 0 1 0 0 0 
0 1 0 0 1 0 1 2 0 0 2 1 1 3 2 1 1 1 0 2 0 0 0 0 0 
0 0 0 0 2 0 2 2 1 0 3 3 1 1 2 0 0 1 1 5 1 1 0 0 0 
